入网时间,套餐价格,每月流量,每月话费,每月通话时长,欠费金额,欠费月份数
90.0,159.0,101.359375,39.7833333333,410.980555556,0.0,0.0
15.0,389.0,1228.32063802,390.0,908.263888889,0.0,0.0
28.0,389.0,693.52718099,390.0,378.047222222,0.0,0.0
85.0,119.0,0.0,3.66666666667,0.0,0.0,0.0
18.0,389.0,110.93359375,1.0,382.480555556,0.0,0.0
42.0,159.0,82.794921875,65.05,60.0972222222,0.0,0.0
62.0,159.0,196.744628906,31.0333333333,835.969444444,0.0,0.0
17.0,159.0,164.434244792,68.9366666667,84.5138888889,0.0,0.0
113.0,159.0,24.2569986979,52.7316666667,137.816666667,0.0,0.0
21.0,60.0,273.657389323,116.123333333,407.541666667,0.0,0.0
17.0,159.0,0.0,10.0,0.0,0.0,0.0
14.0,89.0,0.0,0.0,0.0,0.0,0.0
26.0,129.0,248.659667969,55.3616666667,147.616666667,0.0,0.0
42.0,159.0,0.005859375,0.0,301.930555556,0.0,0.0
26.0,389.0,751.680338542,0.0,485.588888889,0.0,0.0
27.0,389.0,1702.96809896,393.125,738.969444444,0.0,0.0
28.0,389.0,89.0870768229,2.78,456.425,0.0,0.0
122.0,129.0,325.459798177,251.763333333,2048.48055556,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
28.0,100.0,196.691080729,145.166666667,1574.60833333,108.0,1.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
41.0,129.0,54.3413085938,91.8666666667,225.158333333,0.0,0.0
30.0,89.0,0.0,130.0,0.0,130.0,1.0
41.0,129.0,0.0,81.8333333333,82.0888888889,0.0,0.0
16.0,389.0,0.0,389.0,0.0,389.0,1.0
149.0,289.0,232.349446615,346.796666667,296.4,0.0,0.0
24.0,159.0,0.0,0.0,0.0,0.0,0.0
15.0,389.0,1560.1866862,398.333333333,848.013888889,0.0,0.0
32.0,159.0,0.0,0.0333333333333,7.36111111111,0.0,0.0
41.0,199.0,497.231445312,141.965,1857.18055556,0.0,0.0
54.0,289.0,920.944173177,293.763333333,265.158333333,0.0,0.0
42.0,199.0,0.0,0.0,0.0,0.0,0.0
28.0,89.0,2.06884765625,89.0,36.8111111111,0.0,0.0
15.0,389.0,0.0,0.0,0.0,0.0,0.0
51.0,159.0,4.49576822917,65.35,115.036111111,0.0,0.0
25.0,89.0,0.0,90.0,0.0,60.0,1.0
41.0,129.0,147.286458333,86.4816666667,646.561111111,0.0,0.0
39.0,159.0,16.0880533854,1.31666666667,269.141666667,0.0,0.0
29.0,129.0,224.570638021,112.966666667,373.980555556,0.0,0.0
41.0,129.0,231.50374349,120.896666667,941.894444444,0.0,0.0
25.0,289.0,611.076660156,290.0,660.886111111,0.0,0.0
64.0,89.0,12.6497395833,106.016666667,526.575,0.0,0.0
22.0,89.0,377.106933594,107.556666667,139.241666667,0.0,0.0
24.0,159.0,0.0,0.05,282.141666667,0.0,0.0
35.0,89.0,102.703450521,91.9516666667,91.7388888889,0.0,0.0
14.0,89.0,0.0,92.0,0.0,474.64,8.0
28.0,159.0,10.4545898438,44.6883333333,281.686111111,0.0,0.0
20.0,389.0,192.579264323,7.5,426.672222222,0.0,0.0
19.0,389.0,2184.53613281,421.89,632.627777778,0.0,0.0
25.0,129.0,58.4435221354,134.35,630.919444444,98.6,1.0
29.0,159.0,0.0,4.13333333333,0.0,0.0,0.0
60.0,46.0,0.0,4.36833333333,0.0,0.0,0.0
26.0,159.0,3.638671875,0.0166666666667,171.688888889,0.0,0.0
13.0,129.0,0.0,0.0,0.0,0.0,0.0
15.0,39.0,1.50439453125,40.0,163.694444444,0.0,0.0
79.0,599.0,0.0,4.0,0.0,0.0,0.0
113.0,389.0,42.4907226562,418.666666667,207.130555556,427.0,1.0
27.0,289.0,38.9759114583,290.0,7.80833333333,0.75,1.0
22.0,89.0,125.017252604,90.0,10.7583333333,0.0,0.0
22.0,129.0,202.294108073,151.36,423.158333333,0.0,0.0
44.0,159.0,345.07438151,19.3683333333,199.477777778,0.0,0.0
28.0,389.0,0.0,0.0,509.827777778,0.0,0.0
43.0,159.0,0.0,4.0,0.0,0.0,0.0
27.0,159.0,0.0,10.0,0.0,0.0,0.0
16.0,189.0,0.0,0.0,0.0,0.0,0.0
29.0,209.0,380.734049479,63.2116666667,1279.28333333,0.0,0.0
62.0,159.0,0.0,18.9033333333,0.0,0.0,0.0
40.0,99.0,0.0,2.0,0.0,0.0,0.0
133.0,199.0,0.0,4.31166666667,0.0,0.0,0.0
21.0,389.0,639.39436849,11.7,885.430555556,0.0,0.0
41.0,159.0,268.621907552,124.181666667,510.55,27.84,1.0
47.0,89.0,0.65625,95.2,468.783333333,0.0,0.0
14.0,159.0,0.0,4.16666666667,1.53611111111,25.0,5.0
